,电影名称,电影链接,电影评分,评分人数,导演,主演,上映年份,国家,类型
166,疯狂原始人 / The Croods / 古鲁家族(港 / 台) ,https://movie.douban.com/subject/1907966/,8.7,846973,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,主演...,2013,美国,喜剧 动画 冒险
167,心迷宫 / 殡棺  /  The Coffin in the Mountain,https://movie.douban.com/subject/25917973/,8.7,528426,导演: 忻钰坤 Yukun Xin,主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 犯罪 悬疑
168,谍影重重3 / The Bourne Ultimatum / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),https://movie.douban.com/subject/1578507/,8.8,423109,导演: 保罗·格林格拉斯 Paul Greengrass,主演: 马特·达蒙 Matt Damon / ...,2007,美国 德国 法国 英国,动作 悬疑 惊悚
169,上帝之城 / Cidade de Deus / 无主之城(港)  /  无法无天(台),https://movie.douban.com/subject/1292208/,9.0,303980,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002,巴西 法国,犯罪 剧情
170,英雄本色 / A Better Tomorrow  /  Gangland Boss,https://movie.douban.com/subject/1297574/,8.6,547495,导演: 吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情 动作 犯罪
171,风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika,https://movie.douban.com/subject/1291585/,8.9,357719,导演: 宫崎骏 Hayao Miyazaki,主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画 奇幻 冒险
172,纵横四海 / 緃横四海 / Once a Thief,https://movie.douban.com/subject/1295409/,8.8,430353,导演: 吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情 喜剧 动作 犯罪
173,卢旺达饭店 / Hotel Rwanda / 卢安达饭店(台),https://movie.douban.com/subject/1291822/,8.9,333530,导演: 特瑞·乔治 Terry George,主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国 南非 意大利 美国,剧情 传记 历史 战争
174,爱在午夜降临前 / Before Midnight / 情约半生(港)  /  爱在午夜希腊时(台),https://movie.douban.com/subject/10808442/,8.9,408659,导演: 理查德·林克莱特 Richard Linklater,主演: 伊桑·霍克 Ethan Hawke ...,2013,美国 希腊,剧情 爱情
175,海街日记 / 海街diary / 海街女孩日记(港)  /  Kamakura Diary,https://movie.douban.com/subject/25895901/,8.8,454300,导演: 是枝裕和 Hirokazu Koreeda,主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情 家庭
176,绿里奇迹 / The Green Mile / 绿色奇迹(台)  /  绿色英里,https://movie.douban.com/subject/1300374/,8.9,334275,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 汤姆·汉克斯 Tom Hanks / ...,1999,美国,犯罪 剧情 奇幻 悬疑
177,记忆碎片 / Memento / 凶心人(港)  /  记忆拼图(台),https://movie.douban.com/subject/1304447/,8.7,610420,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪 剧情 悬疑 惊悚
178,小丑 / Joker / 小丑起源电影：罗密欧  /  Romeo,https://movie.douban.com/subject/27119724/,8.7,1017493,导演: 托德·菲利普斯 Todd Phillips,主演: 杰昆·菲尼克斯 Joaquin Phoeni...,2019,美国 加拿大,剧情 犯罪 惊悚
179,疯狂的石头 / Crazy Stone,https://movie.douban.com/subject/1862151/,8.6,831640,导演: 宁浩 Hao Ning,主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 中国香港,喜剧 犯罪
180,"背靠背，脸对脸 / 背对背，脸对脸  /  Back to Back, Face to Face",https://movie.douban.com/subject/1307856/,9.5,137235,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,主演: 牛振华 Zhenhua N...,1994,中国大陆 中国香港,剧情
181,岁月神偷 / 歲月神偷 / 1969太空漫游  /  Echoes Of The Rainbow,https://movie.douban.com/subject/3792799/,8.7,577981,导演: 罗启锐 Alex Law,主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港 中国大陆,剧情 家庭
182,雨中曲 / Singin' in the Rain / 万花嬉春(港 / 台) ,https://movie.douban.com/subject/1293460/,9.1,229354,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,主演: 吉恩·...,1952,美国,喜剧 歌舞 爱情
183,忠犬八公物语 / ハチ公物語 / 八千公物语  /  阿八的故事,https://movie.douban.com/subject/1959195/,9.2,198046,导演: 神山征二郎 Seijirô Kôyama,主演: 仲代达矢 Tatsuya Nakadai /...,1987,日本,剧情
184,2001太空漫游 / 2001: A Space Odyssey / 2001：星际漫游  /  2001：太空奥德赛,https://movie.douban.com/subject/1292226/,8.9,335304,导演: 斯坦利·库布里克 Stanley Kubrick,主演: 凯尔·杜拉 Keir Dullea / ...,1968,英国 美国,科幻 惊悚 冒险
185,心灵奇旅 / Soul / 灵魂奇遇记(港)  /  灵魂急转弯(台),https://movie.douban.com/subject/24733428/,8.7,994708,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,主演: 杰米·...,2020,美国,动画 奇幻 音乐
186,荒蛮故事 / Relatos salvajes / 蛮荒故事  /  生命中最抓狂的小事(台),https://movie.douban.com/subject/24750126/,8.8,448369,导演: 达米安·斯兹弗隆 Damián Szifron,主演: 达里奥·葛兰帝内提 Darío...,2014,阿根廷 西班牙,剧情 喜剧 犯罪
187,无间道2 / 無間道II / 无间道前传  /  Infernal Affairs II,https://movie.douban.com/subject/1307106/,8.7,486023,导演: 刘伟强 / 麦兆辉,主演: 陈冠希 Edison Chen / 余文乐 Shawn Yue / 曾...,2003,中国香港,剧情 犯罪 惊悚
188,小偷家族 / 万引き家族 / Shoplifters  /  Une Affaire de Famille,https://movie.douban.com/subject/27622447/,8.7,818977,导演: 是枝裕和 Hirokazu Koreeda,主演: 中川雅也 Lily Franky / 安藤樱 Sa...,2018,日本,剧情 犯罪 家庭
189,无敌破坏王 / Wreck-It Ralph / 破坏王拉尔夫  /  破坏王大冒险,https://movie.douban.com/subject/6534248/,8.7,546316,导演: 瑞奇·莫尔 Rich Moore,主演: 约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧 动画 奇幻 冒险
190,爆裂鼓手 / Whiplash / 鼓动真我(港)  /  进击的鼓手(台),https://movie.douban.com/subject/25773932/,8.7,594828,导演: 达米恩·查泽雷 Damien Chazelle,主演: 迈尔斯·特勒 Miles Teller /...,2014,美国,剧情 音乐
191,冰川时代 / Ice Age / 冰河世纪  /  冰原历险记,https://movie.douban.com/subject/1291578/,8.6,621894,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,主演...,2002,美国,喜剧 动画 冒险
192,恐怖游轮 / Triangle / 汪洋血迷宮(台)  /  轮回三角,https://movie.douban.com/subject/3011051/,8.5,874829,导演: 克里斯托弗·史密斯 Christopher Smith,主演: 梅利莎·乔治 Melissa ...,2009,英国 澳大利亚,剧情 悬疑 惊悚
193,贫民窟的百万富翁 / Slumdog Millionaire / 一百万零一夜(港)  /  贫民百万富翁(台),https://movie.douban.com/subject/2209573/,8.6,751223,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,主演: 戴夫...,2008,英国,剧情 爱情
194,东邪西毒 / 東邪西毒 / Ashes of Time,https://movie.douban.com/subject/1292328/,8.6,581794,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
195,牯岭街少年杀人事件 / 牯嶺街少年殺人事件 / A Brighter Summer Day,https://movie.douban.com/subject/1292329/,8.9,305470,导演: 杨德昌 Edward Yang,主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,中国台湾,剧情 犯罪
196,魔女宅急便 / 魔女の宅急便 / 魔女琪琪(台)  /  小魔女限时专送,https://movie.douban.com/subject/1307811/,8.7,464965,导演: 宫崎骏 Hayao Miyazaki,主演: 高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画 奇幻 冒险
197,遗愿清单 / The Bucket List / 玩转身前事(港)  /  一路玩到挂(台),https://movie.douban.com/subject/1867345/,8.7,468070,导演: 罗伯·莱纳 Rob Reiner,主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,2007,美国,冒险 喜剧 剧情
198,东京教父 / 東京ゴッドファーザーズ / Tokyo Godfathers,https://movie.douban.com/subject/1310177/,9.0,234762,导演: 今敏 Satoshi Kon,主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,日本,剧情 喜剧 动画
199,大佛普拉斯 / The Great Buddha+,https://movie.douban.com/subject/27059130/,8.7,465963,导演: 黄信尧 Hsin-yao Huang,主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,中国台湾,剧情 喜剧
200,你看起来好像很好吃 / おまえうまそうだな / 你看起来很好吃(台)  /  你看上去好像很好吃,https://movie.douban.com/subject/4848115/,8.9,336469,导演: 藤森雅也 Masaya Fujimori,主演: 山口胜平 Kappei Yamaguchi / 爱河...,2010,日本,剧情 动画 儿童
201,真爱至上 / Love Actually / 真的恋爱了(港)  /  爱是您，爱是我(台),https://movie.douban.com/subject/1292401/,8.6,736611,导演: 理查德·柯蒂斯 Richard Curtis,主演: 休·格兰特 Hugh Grant / 柯林...,2003,英国 美国 法国,喜剧 剧情 爱情
202,黑天鹅 / Black Swan / 夺命黑天鹅  /  霸王别鹅(豆友译名),https://movie.douban.com/subject/1978709/,8.6,785818,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,主演: 娜塔莉·波特曼 Natalie...,2010,美国,剧情 惊悚
203,可可西里 / Kekexili: Mountain Patrol,https://movie.douban.com/subject/1308857/,8.9,306793,导演: 陆川 Chuan Lu,主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,中国大陆 中国香港,剧情 犯罪
204,城市之光 / City Lights / City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,https://movie.douban.com/subject/1293908/,9.3,148909,导演: Charles Chaplin,主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931,美国,喜剧 剧情 爱情
205,源代码 / Source Code / 启动原始码(台)  /  危机解密(港),https://movie.douban.com/subject/3075287/,8.5,842840,导演: 邓肯·琼斯 Duncan Jones,主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,美国 加拿大,科幻 悬疑 惊悚
206,海边的曼彻斯特 / Manchester by the Sea / 情系海边之城(港),https://movie.douban.com/subject/25980443/,8.6,550399,导演: 肯尼斯·罗纳根 Kenneth Lonergan,主演: 卡西·阿弗莱克 Casey Affle...,2016,美国,剧情 家庭
207,雨人 / Rain Man / 手足情未了(港)  /  手足情深,https://movie.douban.com/subject/1291870/,8.7,407684,导演: 巴瑞·莱文森 Barry Levinson,主演: 达斯汀·霍夫曼 Dustin Hoffman ...,1988,美国,剧情
208,波西米亚狂想曲 / Bohemian Rhapsody / 波希米亚狂想曲：摇滚传说(港)  /  波希米亚狂想曲(台),https://movie.douban.com/subject/5300054/,8.6,612552,导演: 布莱恩·辛格 Bryan Singer,主演: 拉米·马雷克 Rami Malek / 本·哈...,2018,英国 美国,剧情 传记 同性 音乐
209,初恋这件小事 / สิ่งเล็กเล็กที่เรียกว่า...รัก / 初恋那件小事(港)  /  暗恋那点小事,https://movie.douban.com/subject/4739952/,8.5,986439,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,2010,泰国,剧情 喜剧 爱情
210,恋恋笔记本 / The Notebook / 忘了·忘不了(港)  /  手札情缘(台),https://movie.douban.com/subject/1309163/,8.5,678186,导演: 尼克·卡索维茨 Nick Cassavetes,主演: 瑞恩·高斯林 Ryan Gosling /...,2004,美国,剧情 爱情
211,人工智能 / A.I. Artificial Intelligence / AI人工智慧,https://movie.douban.com/subject/1302827/,8.7,451707,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 海利·乔·奥斯蒙 Haley...,2001,美国 英国,剧情 科幻
212,青蛇 / Green Snake,https://movie.douban.com/subject/1303394/,8.6,532470,导演: 徐克 Hark Tsui,主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装
213,虎口脱险 / La grande vadrouille / 横冲直撞出重围(港)  /  大進擊(台),https://movie.douban.com/subject/1296909/,8.9,260457,导演: 杰拉尔·乌里 Gérard Oury,主演: 路易·德·菲耐斯 Louis de Funès...,1966,法国 英国,喜剧 战争
214,终结者2：审判日 / Terminator 2: Judgment Day / 未来战士2(港)  /  魔鬼终结者2(台),https://movie.douban.com/subject/1291844/,8.8,345296,导演: 詹姆斯·卡梅隆 James Cameron,主演: 阿诺·施瓦辛格 Arnold Schwarz...,1991,美国 法国,动作 科幻
215,疯狂的麦克斯4：狂暴之路 / Mad Max: Fury Road / 末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),https://movie.douban.com/subject/3592854/,8.7,536428,导演: 乔治·米勒 George Miller,主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,澳大利亚 美国,动作 科幻 冒险
216,末路狂花 / Thelma & Louise / 塞尔玛与路易丝  /  末路狂花,https://movie.douban.com/subject/1291992/,8.9,262795,导演: 雷德利·斯科特 Ridley Scott,主演: 吉娜·戴维斯 Geena Davis / 苏...,1991,美国 英国 法国,犯罪 剧情 惊悚
217,罗生门 / 羅生門 / Rashomon,https://movie.douban.com/subject/1291879/,8.8,318339,导演: 黑泽明 Akira Kurosawa,主演: 三船敏郎 Toshirô Mifune / 京町子 ...,1950,日本,剧情 犯罪 悬疑
218,新龙门客栈 / 新龍門客棧 / New Dragon Gate Inn,https://movie.douban.com/subject/1292287/,8.7,449520,导演: 李惠民 Raymond Lee,主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,中国香港 中国大陆,动作 爱情 武侠 古装
219,萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌,https://movie.douban.com/subject/1293318/,8.7,407608,导演: 高畑勋 Isao Takahata,主演: 辰己努 / 白石绫乃 / 志乃原良子,1988,日本,动画 剧情 战争
220,千钧一发 / Gattaca / 变种异煞(港)  /  自然人,https://movie.douban.com/subject/1300117/,8.8,303234,导演: 安德鲁·尼科尔 Andrew Niccol,主演: 伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情 科幻 惊悚
221,无耻混蛋 / Inglourious Basterds / 希魔撞正杀人狂(港)  /  恶棍特工(台),https://movie.douban.com/subject/1438652/,8.7,484000,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,主演: 布拉德·皮特 Brad Pitt / ...,2009,德国 美国,剧情 犯罪
222,崖上的波妞 / 崖の上のポニョ / 悬崖上的金鱼姬  /  悬崖上的金鱼公主,https://movie.douban.com/subject/1959877/,8.6,504365,导演: 宫崎骏 Hayao Miyazaki,主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008,日本,动画 奇幻 冒险
223,花束般的恋爱 / 花束みたいな恋をした / 她和他的恋爱花期(港)  /  Hanataba mitaina koi o shita,https://movie.douban.com/subject/34874432/,8.6,637019,导演: 土井裕泰 Nobuhiro Doi,主演: 菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021,日本,剧情 爱情
224,彗星来的那一夜 / Coherence / 相干性  /  相干效应,https://movie.douban.com/subject/25807345/,8.6,588688,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,主演: 艾米丽·芭尔多尼 Em...,2013,美国 英国,科幻 悬疑 惊悚
225,芙蓉镇 / Hibiscus Town,https://movie.douban.com/subject/1297880/,9.3,142921,导演: 谢晋 Jin Xie,主演: 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,1987,中国大陆,剧情 爱情
226,奇迹男孩 / Wonder / 奇迹,https://movie.douban.com/subject/26787574/,8.6,555444,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,主演: 雅各布·特伦布莱 Jacob Tr...,2017,美国 中国香港,剧情 儿童 家庭
227,爱乐之城 / La La Land / 星声梦里人(港)  /  乐来越爱你(台),https://movie.douban.com/subject/25934014/,8.4,910218,导演: 达米恩·查泽雷 Damien Chazelle,主演: 瑞恩·高斯林 Ryan Gosling /...,2016,美国,剧情 爱情 歌舞
228,二十二 / Twenty Two  /  22,https://movie.douban.com/subject/26430107/,8.7,293709,导演: 郭柯 Ke Guo,主演: ,2015,中国大陆,纪录片
229,黑客帝国2：重装上阵 / The Matrix Reloaded / 22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),https://movie.douban.com/subject/1304141/,8.7,410515,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,...,2003,美国,动作 科幻
230,哈利·波特与死亡圣器(上) / Harry Potter and the Deathly Hallows: Part 1 / 哈利波特7：死神的圣物1(港 / 台) ,https://movie.douban.com/subject/2051007/,8.5,585237,导演: 大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2010,英国 美国,奇幻 冒险
231,血钻 / Blood Diamond / 血钻石(台)  /  血腥钻石,https://movie.douban.com/subject/1428175/,8.7,384025,导演: 爱德华·兹威克 Edward Zwick,主演: 莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国 英国,剧情 惊悚 冒险
232,战争之王 / Lord of War / 军火之王(台 / 港) ,https://movie.douban.com/subject/1419936/,8.7,372856,导演: 安德鲁·尼科尔 Andrew Niccol,主演: 尼古拉斯·凯奇 Nicolas Cage /...,2005,美国 德国,剧情 犯罪
233,步履不停 / 歩いても 歩いても / 横山家之味(港 / 台) ,https://movie.douban.com/subject/2222996/,8.8,282585,导演: 是枝裕和 Hirokazu Koreeda,主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情 家庭
234,房间 / Room / 不存在的房间(台)  /  抖室(港),https://movie.douban.com/subject/25724855/,8.8,370699,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,主演: 布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
235,火星救援 / The Martian / 火星任务(港)  /  绝地救援(台),https://movie.douban.com/subject/25864085/,8.5,737998,导演: 雷德利·斯科特 Ridley Scott,主演: 马特·达蒙 Matt Damon / 杰西卡...,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险
236,魂断蓝桥 / Waterloo Bridge / 滑铁卢桥  /  断桥残梦,https://movie.douban.com/subject/1293964/,8.8,281611,导演: 茂文·勒鲁瓦 Mervyn LeRoy,主演: 费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情 爱情 战争
237,千年女优 / 千年女優 / Millennium Actress,https://movie.douban.com/subject/1307394/,8.8,271974,导演: 今敏 Satoshi Kon,主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,日本,动画 剧情 爱情
238,谍影重重2 / The Bourne Supremacy / 叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),https://movie.douban.com/subject/1308767/,8.7,356860,导演: 保罗·格林格拉斯 Paul Greengrass,主演: 马特·达蒙 Matt Damon / ...,2004,美国 德国,动作 悬疑 惊悚
239,白日梦想家 / The Secret Life of Walter Mitty / 发梦王大历险(港)  /  白日梦冒险王(台),https://movie.douban.com/subject/2133323/,8.6,491530,导演: 本·斯蒂勒 Ben Stiller,主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·...,2013,美国 英国,剧情 喜剧 冒险
240,哈利·波特与凤凰社 / Harry Potter and the Order of the Phoenix / 哈利波特5：凤凰会的密令(港 / 台) ,https://movie.douban.com/subject/1457217/,8.5,579348,导演: 大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2007,英国 美国,奇幻 冒险
241,弱点 / The Blind Side / 守护有心人(港)  /  攻其不备(台),https://movie.douban.com/subject/3552028/,8.7,313417,导演: 约翰·李·汉考克 John Lee Hancock,主演: 桑德拉·布洛克 Sandra Bu...,2009,美国,剧情 家庭 传记 运动
242,阿飞正传 / 阿飛正傳 / Days of Being Wild,https://movie.douban.com/subject/1305690/,8.5,516144,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990,中国香港,犯罪 剧情 爱情
243,蜘蛛侠：平行宇宙 / Spider-Man: Into the Spider-Verse / 蜘蛛侠：新纪元  /  蜘蛛人：新宇宙(台),https://movie.douban.com/subject/26374197/,8.6,674176,导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,主...,2018,美国,动作 科幻 动画 冒险
244,谍影重重 / The Bourne Identity / 叛谍追击(港)  /  神鬼认证(台),https://movie.douban.com/subject/1304102/,8.6,432314,导演: 道格·里曼 Doug Liman,主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,美国 德国 捷克,动作 悬疑 惊悚
245,朗读者 / The Reader / 为爱朗读(台)  /  读爱(港),https://movie.douban.com/subject/2213597/,8.6,456845,导演: 史蒂芬·戴德利 Stephen Daldry,主演: 凯特·温丝莱特 Kate Winslet ...,2008,美国 德国,剧情 爱情
246,燃情岁月 / Legends of the Fall / 秋日传奇  /  真爱一世情(台),https://movie.douban.com/subject/1295865/,8.7,289691,导演: 爱德华·兹威克 Edward Zwick,主演: 布拉德·皮特 Brad Pitt / 安东...,1994,美国,剧情 爱情 战争 西部
247,再次出发之纽约遇见你 / Begin Again / 再次出发  /  歌曲改变人生,https://movie.douban.com/subject/6874403/,8.6,431248,导演: 约翰·卡尼 John Carney,主演: 凯拉·奈特莉 Keira Knightley / 马克...,2013,美国,喜剧 爱情 音乐
248,香水 / Perfume: The Story of a Murderer / 香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事,https://movie.douban.com/subject/1760622/,8.5,548509,导演: 汤姆·提克威 Tom Tykwer,主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克...,2006,德国 法国 西班牙 美国 比利时,剧情 犯罪 奇幻
249,发条橙 / A Clockwork Orange / 发条橘子(台)  /  发条桔子,https://movie.douban.com/subject/1292233/,8.6,369466,导演: 斯坦利·库布里克 Stanley Kubrick,主演: 马尔科姆·麦克道威尔 Malc...,1971,英国 美国,犯罪 剧情 科幻
