name,actor,information,date,star,evaluate,introduction
肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,希望让人自由。,,9.7,2932160人评价,希望让人自由。
霸王别姬,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,风华绝代。,,9.6,2165334人评价,风华绝代。
阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,一部美国近现代史。,,9.5,2185930人评价,一部美国近现代史。
泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,失去的才是永恒的。 ,,9.5,2218854人评价,失去的才是永恒的。
这个杀手不太冷,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,怪蜀黍和小萝莉不得不说的故事。,,9.4,2318358人评价,怪蜀黍和小萝莉不得不说的故事。
千与千寻,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,最好的宫崎骏，最好的久石让。 ,,9.4,2269514人评价,最好的宫崎骏，最好的久石让。
美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,最美的谎言。,,9.6,1340707人评价,最美的谎言。
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,爱是一种力量，让我们超越时空感知它的存在。,,9.4,1872915人评价,爱是一种力量，让我们超越时空感知它的存在。
辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,拯救一个人，就是拯救整个世界。,,9.6,1118617人评价,拯救一个人，就是拯救整个世界。
盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,诺兰给了我们一场无法盗取的梦。,,9.4,2089971人评价,诺兰给了我们一场无法盗取的梦。
楚门的世界,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,如果再也不能见到你，祝你早安，午安，晚安。,,9.4,1736907人评价,如果再也不能见到你，祝你早安，午安，晚安。
忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,永远都不能忘记你所爱的人。,,9.4,1411903人评价,永远都不能忘记你所爱的人。
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,,9.3,1695284人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,英俊版憨豆，高情商版谢耳朵。,,9.2,1877957人评价,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼...,天籁一般的童声，是最接近上帝的存在。 ,,9.3,1326611人评价,天籁一般的童声，是最接近上帝的存在。
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,小瓦力，大人生。,,9.3,1331049人评价,小瓦力，大人生。
疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,,9.2,1965593人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
无间道,导演: 刘伟强 / 麦兆辉   主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,香港电影史上永不过时的杰作。,,9.3,1381931人评价,香港电影史上永不过时的杰作。
控方证人,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,比利·怀德满分作品。,,9.6,573433人评价,比利·怀德满分作品。
大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,一生所爱。,,9.2,1549965人评价,一生所爱。
熔炉,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,,9.4,940991人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,千万不要记恨你的对手，这样会让你失去理智。,,9.3,979934人评价,千万不要记恨你的对手，这样会让你失去理智。
触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,满满温情的高雅喜剧。,,9.3,1131087人评价,满满温情的高雅喜剧。
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,平民励志片。 ,,9.2,1536217人评价,平民励志片。
末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,,9.3,898461人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
寻梦环游记,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...,死亡不是真的逝去，遗忘才是永恒的消亡。,,9.1,1706344人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
龙猫,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,人人心中都有个龙猫，童年就永远不会消失。,,9.2,1280309人评价,人人心中都有个龙猫，童年就永远不会消失。
怦然心动,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,真正的幸福是来自内心深处。,,9.1,1853551人评价,真正的幸福是来自内心深处。
活着,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,张艺谋最好的电影。,,9.3,856762人评价,张艺谋最好的电影。
蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,无尽的黑暗。,,9.2,1074473人评价,无尽的黑暗。
哈利·波特与魔法石,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,童话世界的开端。,,9.2,1209892人评价,童话世界的开端。
指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,史诗的终章。,,9.3,813239人评价,史诗的终章。
我不是药神,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,对我们国家而言，这样的电影多一部是一部。,,9.0,2128981人评价,对我们国家而言，这样的电影多一部是一部。
乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...,Tomorrow is another day.,,9.3,699779人评价,Tomorrow is another day.
飞屋环游记,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,最后那些最无聊的事情，才是最值得怀念的。 ,,9.1,1341606人评价,最后那些最无聊的事情，才是最值得怀念的。
素媛,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,,9.3,695165人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,带着心爱的人在天空飞翔。,,9.1,1039466人评价,带着心爱的人在天空飞翔。
十二怒汉,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957年的理想主义。 ,,9.4,497969人评价,1957年的理想主义。
何以为家,导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...,凝视卑弱生命，用电影改变命运。,,9.1,1056519人评价,凝视卑弱生命，用电影改变命运。
摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,,9.0,1585828人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
让子弹飞,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,你给我翻译翻译，神马叫做TMD的惊喜。,,9.0,1719017人评价,你给我翻译翻译，神马叫做TMD的惊喜。
猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,骗子大师和执著警探的你追我跑故事。 ,,9.1,1041583人评价,骗子大师和执著警探的你追我跑故事。
天空之城,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,对天空的追逐，永不停止。 ,,9.2,885481人评价,对天空的追逐，永不停止。
鬼子来了,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,对敌人的仁慈，就是对自己残忍。,,9.3,634203人评价,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,瑰丽壮观、无人能及的冒险之旅。,,9.1,1362341人评价,瑰丽壮观、无人能及的冒险之旅。
海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,,9.3,627960人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
钢琴家,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,音乐能化解仇恨。,,9.3,650159人评价,音乐能化解仇恨。
大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,旷古烁今。,,9.0,1234140人评价,旷古烁今。
指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,承前启后的史诗篇章。,,9.2,762955人评价,承前启后的史诗篇章。
闻香识女人,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,史上最美的探戈。,,9.1,897675人评价,史上最美的探戈。
罗马假日,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,爱情哪怕只有一天。,,9.1,959524人评价,爱情哪怕只有一天。
死亡诗社,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,,9.2,737773人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
绿皮书,导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...,去除成见，需要勇气。,,8.9,1669858人评价,去除成见，需要勇气。
天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,,9.2,684685人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
大闹天宫,导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,经典之作，历久弥新。,,9.4,444402人评价,经典之作，历久弥新。
指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,传说的开始。,,9.1,857457人评价,传说的开始。
黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,视觉革命。,,9.1,846969人评价,视觉革命。
教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,优雅的孤独。,,9.3,560101人评价,优雅的孤独。
狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,动物版《哈姆雷特》。,,9.1,853356人评价,动物版《哈姆雷特》。
辩护人,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,电影的现实意义大过电影本身。,,9.2,594178人评价,电影的现实意义大过电影本身。
饮食男女,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,人生不能像做菜，把所有的料都准备好了才下锅。,,9.2,628736人评价,人生不能像做菜，把所有的料都准备好了才下锅。
搏击俱乐部,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,,9.0,855413人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
美丽心灵,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,爱是一切逻辑和原由。,,9.1,776988人评价,爱是一切逻辑和原由。
本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...,在时间之河里感受溺水之苦。,,9.0,994134人评价,在时间之河里感受溺水之苦。
穿条纹睡衣的男孩,导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,,9.2,573017人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,别样人生。,,9.2,570529人评价,别样人生。
情书,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,暗恋的极致。,,8.9,1127934人评价,暗恋的极致。
两杆大烟枪,导演: 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,,9.1,600831人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,美丽无罪。,,8.9,985612人评价,美丽无罪。
看不见的客人,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...,你以为你以为的就是你以为的。,,8.8,1285356人评价,你以为你以为的就是你以为的。
音乐之声,导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...,用音乐化解仇恨，让歌声串起美好。,,9.1,609643人评价,用音乐化解仇恨，让歌声串起美好。
阿凡达,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...,绝对意义上的美轮美奂。,,8.8,1435698人评价,绝对意义上的美轮美奂。
拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,美利坚精神输出大片No1.,,9.1,654177人评价,美利坚精神输出大片No1.
哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,10年的完美句点。,,9.0,843114人评价,10年的完美句点。
飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,自由万岁。,,9.1,552298人评价,自由万岁。
小鞋子,导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...,奔跑的孩子是天使。,,9.2,415763人评价,奔跑的孩子是天使。
沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...,安东尼·霍普金斯的顶级表演。,,8.9,900423人评价,安东尼·霍普金斯的顶级表演。
布达佩斯大饭店,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...,小清新的故事里注入了大历史的情怀。,,8.9,949252人评价,小清新的故事里注入了大历史的情怀。
禁闭岛,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,昔日翩翩少年，今日大腹便便。,,8.9,989964人评价,昔日翩翩少年，今日大腹便便。
功夫,导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,,8.8,1150347人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,人的命运被自己瞬间的抉择改变。,,8.9,949313人评价,人的命运被自己瞬间的抉择改变。
致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...,孪生蝙蝠侠大战克隆金刚狼。,,8.9,871049人评价,孪生蝙蝠侠大战克隆金刚狼。
哈利·波特与阿兹卡班的囚徒,导演: Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,不一样的导演，不一样的哈利·波特。,,8.9,742916人评价,不一样的导演，不一样的哈利·波特。
心灵捕手,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...,人生中应该拥有这样的一段豁然开朗。,,8.9,722685人评价,人生中应该拥有这样的一段豁然开朗。
超脱,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...,穷尽一生，我们要学会的，不过是彼此拥抱。,,9.0,611750人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
海豚湾,导演: 路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo...,海豚的微笑，是世界上最高明的伪装。,,9.3,359706人评价,海豚的微笑，是世界上最高明的伪装。
低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...,故事的高级讲法。,,8.9,842897人评价,故事的高级讲法。
春光乍泄,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,爱情纠缠，男女一致。,,9.0,639229人评价,爱情纠缠，男女一致。
摩登时代,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...,大时代中的人生，小人物的悲喜。,,9.3,305200人评价,大时代中的人生，小人物的悲喜。
美国往事,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...,往事如烟，无处祭奠。,,9.2,416641人评价,往事如烟，无处祭奠。
喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...,我是一个演员。,,8.8,981146人评价,我是一个演员。
致命ID,导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...,最不可能的那个人永远是最可能的。,,8.9,835795人评价,最不可能的那个人永远是最可能的。
杀人回忆,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,关于连环杀人悬案的集体回忆。,,8.9,724266人评价,关于连环杀人悬案的集体回忆。
七宗罪,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...,警察抓小偷，老鼠玩死猫。,,8.8,951542人评价,警察抓小偷，老鼠玩死猫。
红辣椒,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,梦的勾结。,,9.1,472335人评价,梦的勾结。
加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...,约翰尼·德普的独角戏。,,8.8,868917人评价,约翰尼·德普的独角戏。
哈利·波特与密室,导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,魔法的密室之门已打开...,,8.9,770179人评价,魔法的密室之门已打开...
一一,导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,我们都曾经是一一。,,9.1,400887人评价,我们都曾经是一一。
狩猎,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...,人言可畏。,,9.1,397316人评价,人言可畏。
唐伯虎点秋香,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,华太师是黄霑，吴镇宇四大才子之一。,,8.7,1092722人评价,华太师是黄霑，吴镇宇四大才子之一。
7号房的礼物,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,《我是山姆》的《美丽人生》。,,8.9,563343人评价,《我是山姆》的《美丽人生》。
被嫌弃的松子的一生,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...,以戏谑来戏谑戏谑。,,8.9,709789人评价,以戏谑来戏谑戏谑。
请以你的名字呼唤我,导演: 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...,沉醉在电影的情感和视听氛围中无法自拔。,,8.8,731002人评价,沉醉在电影的情感和视听氛围中无法自拔。
蝙蝠侠：黑暗骑士崛起,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,诺兰就是保证。,,8.8,731384人评价,诺兰就是保证。
断背山,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,每个人心中都有一座断背山。,,8.8,713029人评价,每个人心中都有一座断背山。
剪刀手爱德华,导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,浪漫忧郁的成人童话。,,8.7,1043025人评价,浪漫忧郁的成人童话。
爱在黎明破晓前,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,缘分是个连绵词，最美不过一瞬。,,8.8,692883人评价,缘分是个连绵词，最美不过一瞬。
入殓师,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,,8.9,674424人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
第六感,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...,深入内心的恐怖，出人意料的结局。,,8.9,562370人评价,深入内心的恐怖，出人意料的结局。
勇敢的心,导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,史诗大片的典范。,,8.9,562610人评价,史诗大片的典范。
重庆森林,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,寂寞没有期限。,,8.8,820370人评价,寂寞没有期限。
超能陆战队,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...,Balalala~~~,,8.7,1026195人评价,Balalala~~~
幽灵公主,导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...,人与自然的战争史诗。,,8.9,529789人评价,人与自然的战争史诗。
甜蜜蜜,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,相逢只要一瞬间，等待却像是一辈子。,,8.9,562854人评价,相逢只要一瞬间，等待却像是一辈子。
爱在日落黄昏时,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,,8.9,569153人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
菊次郎的夏天,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,,8.9,602803人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
借东西的小人阿莉埃蒂,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...,曾经的那段美好会沉淀为一辈子的记忆。,,8.9,560197人评价,曾经的那段美好会沉淀为一辈子的记忆。
消失的爱人,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,年度最佳date movie。,,8.7,965467人评价,年度最佳date movie。
天使爱美丽,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...,法式小清新。 ,,8.7,960348人评价,法式小清新。
阳光灿烂的日子,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,一场华丽的意淫。,,8.8,620539人评价,一场华丽的意淫。
完美的世界,导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...,坏人的好总是比好人的好来得更感人。,,9.1,318878人评价,坏人的好总是比好人的好来得更感人。
小森林 夏秋篇,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,那些静得只能听见呼吸的日子里，你明白孤独即生活。,,9.0,430119人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
寄生虫,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,,,8.8,1384674人评价,
无人知晓,导演: 是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira / 北浦爱...,我的平常生活就是他人的幸福。,,9.1,322984人评价,我的平常生活就是他人的幸福。
